Score L1,Rang L1
117.21000000000001,1
116.8,2
116.77,3
114.93,4
114.71000000000001,5
114.7,6
114.48,7
114.19,8
114.1,9
114.01,10
113.85,11
113.6,12
113.43,13
113.4,14
113.38,15
113.24,16
113.24,16
113.2,18
113.1,19
113.07,20
113.01,21
112.97,22
112.94,23
112.94,23
112.87,25
112.76,26
112.75,27
112.74,28
112.58,29
112.46000000000001,30
112.08,31
112.0,32
112.0,32
111.94,34
111.86,35
111.86,35
111.78999999999999,37
111.78999999999999,37
111.77,39
111.71000000000001,40
111.7,41
111.68,42
111.68,42
111.64,44
111.61,45
111.59,46
111.49,47
111.45,48
111.4,49
111.37,50
111.35,51
111.33,52
111.2,53
111.2,53
111.18,55
111.16,56
111.16,56
111.14,58
111.09,59
111.09,59
111.03,61
111.0,62
110.98,63
110.97,64
110.92,65
110.9,66
110.88,67
110.87,68
110.87,68
110.85,70
110.83,71
110.81,72
110.78999999999999,73
110.78,74
110.75,75
110.72,76
110.7,77
110.67,78
110.62,79
110.55,80
110.51,81
110.47,82
110.44,83
110.35,84
110.34,85
110.3,86
110.24,87
110.24,87
110.24,87
110.21000000000001,90
110.16,91
110.15,92
110.09,93
110.08,94
110.07,95
110.0,96
110.0,96
110.0,96
110.0,96
110.0,96
12.39,101
12.2,102
11.88,103
11.83,104
11.82,105
11.63,106
11.55,107
11.49,108
11.36,109
11.35,110
11.33,111
11.22,112
11.17,113
11.17,113
11.15,115
10.97,116
10.96,117
10.94,118
10.93,119
10.9,120
10.89,121
10.8,122
10.77,123
10.69,124
10.67,125
10.67,125
10.64,127
10.62,128
10.59,129
10.57,130
10.47,131
10.46,132
10.4,133
10.39,134
10.38,135
10.37,136
10.32,137
10.31,138
10.24,139
10.23,140
10.18,141
10.15,142
10.15,142
10.12,144
10.12,144
10.07,146
10.06,147
10.0,148
10.0,148
10.0,148
9.86,151
9.86,151
9.6,153
9.54,154
9.53,155
9.53,155
9.43,157
9.42,158
9.42,158
9.4,160
9.38,161
9.35,162
9.34,163
9.3,164
9.26,165
9.25,166
9.24,167
9.24,167
9.22,169
9.18,170
9.15,171
9.14,172
9.13,173
9.12,174
9.07,175
9.05,176
9.03,177
8.94,178
8.9,179
8.89,180
8.87,181
8.85,182
8.85,182
8.83,184
8.82,185
8.81,186
8.8,187
8.74,188
8.67,189
8.66,190
8.62,191
8.56,192
8.56,192
8.5,194
8.43,195
8.41,196
8.41,196
8.4,198
8.39,199
8.39,199
8.34,201
8.34,201
8.32,203
8.24,204
8.24,204
8.23,206
8.21,207
8.12,208
8.07,209
8.07,209
8.05,211
8.0,212
7.97,213
7.89,214
7.84,215
7.82,216
7.78,217
7.78,217
7.78,217
7.77,220
7.71,221
7.69,222
7.64,223
7.6,224
7.57,225
7.57,225
7.54,227
7.5,228
7.45,229
7.44,230
7.43,231
7.4,232
7.37,233
7.24,234
7.21,235
7.2,236
7.17,237
7.06,238
7.05,239
6.98,240
6.93,241
6.91,242
6.91,242
6.89,244
6.89,244
6.88,246
6.83,247
6.83,247
6.63,249
6.62,250
6.61,251
6.6,252
6.6,252
6.58,254
6.54,255
6.54,255
6.49,257
6.4,258
6.37,259
6.35,260
6.32,261
6.26,262
6.12,263
6.09,264
5.99,265
5.94,266
5.64,267
5.58,268
5.58,268
5.58,268
5.57,271
5.56,272
5.54,273
5.49,274
5.49,274
5.43,276
5.4,277
5.34,278
5.33,279
5.33,279
5.28,281
5.26,282
5.25,283
5.23,284
5.21,285
5.15,286
5.01,287
4.97,288
4.96,289
4.96,289
4.95,291
4.92,292
4.9,293
4.9,293
4.89,295
4.87,296
4.83,297
4.73,298
4.71,299
4.71,299
4.63,301
4.62,302
4.62,302
4.52,304
4.5,305
4.47,306
4.42,307
4.4,308
4.37,309
4.36,310
4.25,311
4.23,312
4.14,313
4.12,314
4.08,315
3.89,316
3.83,317
3.82,318
3.81,319
3.81,319
3.79,321
3.78,322
3.63,323
3.62,324
3.53,325
3.51,326
3.34,327
3.23,328
3.19,329
3.18,330
3.17,331
2.91,332
2.86,333
2.84,334
2.83,335
2.76,336
2.69,337
2.67,338
2.64,339
2.52,340
2.5,341
2.3,342
2.22,343
2.22,343
2.06,345
2.0,346
1.94,347
1.12,348
